//Taken  from    atomicdata_2016.6.3  Seko
//Symbol  Z      Period  Group                m         kai_Pauling  kai_Allen  EA     IE1       Rvdw  Rcov  MP       BP      Cp_g    Cp_mol  rho     E-fusion  E-vapor  ThermalConductivity  Ratom  Mol-Vol
H         1      1       1                    1.0079    2.2          2.3        72.8   1312      1.1   0.32  14.01    20.28   14.304  28.836  0.0899  0.558     0.4581   0.001815             53     0.01121
He        2      1       18                   4.0026    nan          4.16       0      2372.3    1.4   0.37  nan      4.22    5.193   20.786  0.1785  0.02      0.084    0.00152              31     0.022424
Li        3      2       1                    6.941     0.98         0.912      59.6   520.2     1.82  1.3   453.69   1615    3.582   24.86   0.535   3         147.1    0.847                167    0.00001297
Be        4      2       2                    9.0122    1.57         1.576      0      899.5     1.53  0.99  1560     2743    1.825   16.443  1.848   7.95      297      2.01                 112    4.88E-06
B         5      2       13                   10.811    2.04         2.051      26.7   800.6     1.92  0.84  2348     4273    1.026   11.087  2.46    50        507.8    0.274                87     4.39E-06
C         6      2       14                   12.0107   2.55         2.544      153.9  1086.5    1.7   0.75  3823     4300    0.709   8.517   2.26    105       715      1.29                 67     5.31E-06
N         7      2       15                   14.0067   3.04         3.066      7      1402.3    1.55  0.71  63.05    77.36   1.04    29.124  1.251   0.36      2.7928   0.0002598            56     0.011196
O         8      2       16                   15.9994   3.44         3.61       141    1313.9    1.52  0.64  54.8     90.2    0.918   29.378  1.429   0.222     3.4109   0.0002674            48     0.011196
F         9      2       17                   18.9984   3.98         4.193      328    1681      1.47  0.6   53.5     85.03   0.824   31.304  1.696   0.26      3.2698   0.000279             42     0.011202
Ne        10     2       18                   20.1797   nan          4.789      0      2080.7    1.54  0.62  24.56    27.07   1.03    20.786  0.9     0.34      1.77     0.000493             38     0.02242
Na        11     3       1                    22.9897   0.93         0.869      52.8   495.8     2.27  1.6   370.87   1156    1.228   28.23   0.968   2.6       98.01    1.41                 190    0.00002375
Mg        12     3       2                    24.305    1.31         1.293      0      737.7     1.73  1.4   923      1363    1.023   24.869  1.738   8.7       127.6    1.56                 145    0.000013984
Al        13     3       13                   26.9815   1.61         1.613      42.5   577.5     1.84  1.24  933.47   2792    0.897   24.2    2.7     10.7      290.8    2.37                 118    0.00000999
Si        14     3       14                   28.0855   1.9          1.916      133.6  786.5     2.1   1.14  1687     3173    0.712   19.99   2.33    50.2      359      1.48                 111    0.000012054
P         15     3       15                   30.9738   2.19         2.253      72     1011.8    1.8   1.09  317.3    553.6   0.769   23.824  1.823   0.64      12.4     0.00235              98     0.000016991
